x	y	occurrence	id	boat	elev	nit	phos	pop	solar	wc18	wind	land
-83.35462	41.90127	1	455	-0.773542466907472	-0.8090742589253641	-1.1057527660598572	-0.12269028654354076	-0.363173534106973	1.291234608827826	1.517528481180474	1.3898286467167005	Developed High Intensity
-84.15256	46.2214	1	425	0.532311180770732	-0.7870062038199243	-0.5627767802461597	-0.12269028654354076	-0.3611864599144423	-1.9112833428487153	-0.7017832581294601	-0.26485742174353005	Open Water
-83.38749999999999	42.1875	0	background_350	0.18575225081757168	-0.3235770466056859	-0.6170745730108277	-0.12269028654354076	-0.35588759553262583	0.9519217497475893	0.7522485710736001	0.9596102878534162	Developed, Medium Intensity
-83.84743	44.96295	1	440	-0.5372344433390668	0.18398822081943222	-0.7256696407180351	-1.952591417338657	-0.36234558655965154	-1.2079630525147256	-0.7017832581294601	-0.6950757806068143	Woody Wetlands
-84.00416666666666	42.57083333333333	0	background_47	0.5639971352074316	1.8611604088328662	1.9077634697479178	-0.12269028654354076	-0.34711135200477394	0.08163469346690239	-0.16608732105464843	-0.43032631263518784	Cultivated Crops
-84.15416666666667	42.520833333333336	0	background_130	1.1867110454913192	1.6846159679893467	2.206399776487206	-0.12269028654354076	-0.3434683831123965	0.06498709143604246	0.06349665197741369	-0.6950757806068143	Cultivated Crops
-83.7375	42.270833333333336	0	background_86	-0.4854473455671746	1.1549826454587886	NA	-0.12269028654354076	18.35854134860092	-0.009637703608564273	1.364472499159099	0.1984550940255988	Developed, Medium Intensity
-83.62916666666666	43.145833333333336	0	background_378	-0.16455677510663375	0.4929409922955911	2.016358537455125	0.38954176286409653	-0.2823658547517479	-0.34679883181406385	-0.7783112491401475	-0.5296068897151566	Cultivated Crops
-84.185907	46.175187	1	101	0.27507013914613926	-0.8090742589253641	NA	-0.12269028654354076	-0.34230925528279876	-2.0626846638126657	-0.5487272761080854	-0.26485742174353005	Open Water
-83.88749999999999	42.045833333333334	0	background_461	2.142354696197182	0.7798257086663101	-0.8614136048075763	-0.12269028654354076	-0.320120261646258	0.7398504263710983	1.364472499159099	-0.03320116385896563	Cultivated Crops
-83.83845	44.99616	1	265	-0.7928001302585084	0.18398822081943222	-0.6985207443357011	-1.9974065400234076	-0.363173534106973	-1.473720690376979	-0.5487272761080854	-0.6288884136139077	Open Water
-83.78571	43.98687	1	136	-0.13569415066805843	-0.8090742589253641	-0.29128885206707716	-0.14545056753658483	-0.363173534106973	-0.7258432127479967	-1.1609512041935843	-1.4231377643475696	Open Water
-83.878413	43.955779	1	141	-0.5482709500887063	-0.8090742589253641	0.5503235699414404	-0.15914692670856503	-0.32823414697833425	-0.594304506905522	-1.0078952221722095	-1.5224183414275383	Open Water
-83.43195	41.74942	1	322	-0.41933021070782606	-0.8752784242416839	-0.8885623717343781	-0.12269028654354076	-0.363173534106973	2.0707903465571027	1.4410004901697866	1.2905471228179493	Open Water
-83.25416666666666	42.329166666666666	0	background_94	1.119018589748669	-0.5221895425546452	NA	-0.12269028654354076	1.7752494315419742	0.5240230113799349	0.5991925890522254	1.0588908649333848	Developed, Medium Intensity
-83.35842	41.90245	1	454	-0.8163007881599459	-0.853210369136244	-0.942860035043514	-0.12269028654354076	-0.363173534106973	1.1183537287809744	1.517528481180474	1.3898286467167005	Open Water
-83.22916666666666	42.15416666666667	0	background_81	-0.2944527320733461	-0.6325298180818448	-0.9700088019703158	-0.0871395125059612	-0.1782100570887536	0.68669889879864765	1.134888526127037	1.3898286467167005	Developed, Medium Intensity
-83.52083333333333	42.545833333333334	0	background_174	-0.6420770606507044	1.640479857778467	0.5774724663237744	-0.12269028654354076	1.1304438412609086	0.15411404924751698	0.06349665197741369	0.5293919289901319	Woody Wetlands
-84.35416666666666	42.3375	0	background_137	-0.4003140117032083	1.640479857778467	1.7991678842185819	-0.12269028654354076	-0.30852899598375777	0.23196014899348436	0.5991925890522254	-0.7281699375126589	Woody Wetlands
-83.97456	46.01766	1	403	-0.15684954054094769	-0.8090742589253641	-0.6442232104820974	NA	-0.3578746697251565	-1.5327800404388392	-1.2374791952042716	-0.23176326483768547	Open Water
-83.94841	43.77421	1	96	-0.41934333312763145	-0.8090742589253641	0.9575554622100643	0.17174987237433154	-0.3563843643768556	-0.6941649526477021	-1.1609512041935843	-1.6216998653262895	Emergent Herbaceous Wetlands
-82.855456	42.566839	1	137	-0.8382530399310161	-0.67666592829272465	NA	0.5527807328264114	1.0781175966973198	0.43919951531793433	0.522664598041538	1.0919850218392295	Developed, Open Space
-83.216396	42.01645	1	276	-0.7409975062601799	-0.8752784242416839	-1.0786039991330554	-0.05869784116657415	-0.363173534106973	1.1919089499989577	1.364472499159099	1.654578114688327	Emergent Herbaceous Wetlands
-83.37424	44.901394	1	308	-0.7400613220940654	-0.8090742589253641	NA	-2.0320951104704634	-0.35837143817459016	-0.6458453821272924	-1.2374791952042716	0.032986203133940996	Open Water
-83.93363	43.78203	1	44	-0.5979175565723462	-0.8311423140308041	0.9575554622100643	0.1440004889697396	-0.35373493238334547	-0.6249069015684481	-1.3140071862149592	-1.6216998653262895	Emergent Herbaceous Wetlands
-84.21249999999999	42.59583333333333	0	background_259	1.0531910150716925	1.5080715271458274	2.4778877046662884	-0.12269028654354076	-0.33336742240340106	-0.06869705367042445	-0.08955933004396105	-0.7943573045055655	Cultivated Crops
-83.341154	41.914821	1	458	-0.9211299677984495	-0.8311423140308041	-1.132901532986659	-0.12269028654354076	-0.329393274807932	1.4598120271252033	1.4410004901697866	1.3898286467167005	Open Water
