boat	elev	nit	pop	wc10	x	y	id	land
0.7493714930796023	-0.4805464001779465	NA	-0.3587935392410423	0.21711237368112818	-83.61250000000001	43.65416666666667	318	11
0.7708524253743643	0.16489337261008488	-0.5340347591714032	-0.20436947945231612	0.3802396131067109	-83.60416666666667	43.645833333333336	319	11
0.7722179523821838	-0.4805464001779465	-0.5930517146873856	-0.3587935392410423	-1.4957516433613216	-83.80416666666667	43.9875	320	11
0.7841502207432094	0.8103331453981163	-0.5930517146873856	-0.22062464160084871	0.7065034263158201	-83.5875	43.6375	321	82
0.787679063335287	-0.4805464001779465	NA	-0.3587935392410423	1.7668398169400514	-83.47916666666667	43.770833333333336	322	11
0.7929034704712703	0.16489337261008488	0.29220768354726007	0.1559533439459707	1.7668398169400514	-83.7375	43.60416666666667	323	82
0.8001070475478762	-0.4805464001779465	NA	-0.3587935392410423	-1.0879242104394211	-83.44583333333334	43.8375	324	95
0.8307140057805231	0.8103331453981163	0.4102421574119926	-0.06349139027377447	1.68527619722726	-83.72916666666667	43.60416666666667	325	82
0.8346135140306352	-0.4805464001779465	0.23319016519850994	0.03674881291110205	1.5221489578016774	-83.72083333333333	43.612500000000004	326	95
0.8351195188221726	-0.4805464001779465	0.17417320968252747	0.03674881291110205	1.68527619722726	-83.72916666666667	43.612500000000004	327	95
0.8506457930617773	-0.4805464001779465	NA	-0.3587935392410423	1.5221489578016774	-83.92916666666667	43.7625	328	11
0.8517461820010384	-0.4805464001779465	NA	-0.3587935392410423	-0.19071505924077237	-83.87083333333334	43.9375	329	11
0.8804056285699056	-0.4805464001779465	NA	-0.3587935392410423	0.6249304722450849	-83.65416666666667	43.62083333333334	330	11
0.894855521396855	-0.4805464001779465	NA	-0.25042577435956587	1.2774487643053596	-83.9375	43.7625	331	11
0.9041978788931657	-0.4805464001779465	1.472553547860121	0.04758557906449428	0.7065034263158201	-83.9625	43.770833333333336	332	82
0.9096966577617868	2.7466524637622105	NA	-0.3587935392410423	-1.0063605907266298	-83.4375	43.854166666666664	333	90
0.9357894095356238	4.037532009338273	0.8233630973549404	-0.2124970540673603	-1.7404518368576394	-83.8125	44.00416666666666	334	90
0.9400545708832703	0.8103331453981163	-0.2979652486091704	-0.08516492258055894	0.7880670460286114	-83.6375	43.612500000000004	335	90
0.9479216526787064	1.4557729181861476	-0.7110861885521181	-0.20707867099066418	0.46180323281950225	-83.59583333333333	43.6375	336	82
0.9561939604177305	1.4557729181861476	-0.23894829309318794	-0.35337515091622823	-1.577315263074113	-83.80416666666667	43.99583333333333	337	95
0.960740880429278	0.8103331453981163	NA	-0.3587935392410423	-1.0063605907266298	-83.44583333333334	43.84583333333333	338	95
0.968926391725958	-0.4805464001779465	NA	-0.3587935392410423	-0.19071505924077237	-83.87916666666666	43.9375	339	11
0.972343375073191	1.4557729181861476	-0.5340347591714032	0.0502947835212866	-1.7404518368576394	-83.72916666666667	44.00416666666666	340	90
0.989883907176919	-0.4805464001779465	NA	-0.3587935392410423	1.1143215248797769	-83.94583333333334	43.7625	341	11
0.9917203510527751	-0.4805464001779465	NA	-0.3587935392410423	1.3590217183760946	-83.7125	43.62083333333334	342	11
1.0273984375976914	-0.4805464001779465	NA	-0.3587935392410423	1.440585338088886	-83.72083333333333	43.62083333333334	343	11
1.0381617240862966	-0.4805464001779465	NA	-0.3587935392410423	0.29867599339391954	-83.61250000000001	43.645833333333336	344	11
1.0463593710557664	-0.4805464001779465	NA	-0.3587935392410423	-1.577315263074113	-83.79583333333333	43.979166666666664	345	11
1.0714073996937912	-0.4805464001779465	NA	-0.3587935392410423	0.6249304722450849	-83.64583333333334	43.62083333333334	346	11
1.1212488716602296	-0.4805464001779465	-1.1832246468438161	-0.3587935392410423	-1.6588788827869043	-83.79583333333333	43.9875	347	11
1.1295554758658333	0.16489337261008488	0.6463111051414577	1.632464140456087	-0.3538422986663551	-83.8875	43.9375	348	11
1.1303954754780623	-0.4805464001779465	NA	3.4340782316106324	0.9511942854541942	-83.95416666666667	43.7625	349	95
1.1504312074349503	1.4557729181861476	-0.5340347591714032	1.1231356661826586	0.3802396131067109	-83.60416666666667	43.6375	350	82
1.203168620275584	2.7466524637622105	NA	-0.3587935392410423	-1.0063605907266298	-83.44583333333334	43.854166666666664	351	90
1.2185490026227381	3.3920922365502415	0.8823806157036905	-0.25042577435956587	-1.903579076283222	-83.80416666666667	44.00416666666666	352	90
1.2227645660033308	2.101212690974179	-0.47501724082265306	-0.07974653950386282	0.7064940919578763	-83.62916666666668	43.612500000000004	353	90
1.2701913029035847	-0.4805464001779465	NA	-0.3587935392410423	-1.4141880236485302	-83.72916666666667	43.99583333333333	354	11
1.2828551412786526	4.037532009338273	-0.3569827669579205	-0.3587935392410423	-1.7404518368576394	-83.79583333333333	43.99583333333333	355	90
1.2845129797093207	1.4557729181861476	-0.3569827669579205	0.0502947835212866	-1.7404518368576394	-83.7375	44.00416666666666	356	90
1.2958471704569912	-0.4805464001779465	-0.5340347591714032	-0.07161895197037438	0.6249304722450849	-83.6375	43.62083333333334	357	11
1.309767314784771	0.16489337261008488	1.7086224955895861	1.0852069071351202	0.7880670460286114	-83.9625	43.7625	358	82
1.3263303975909773	-0.4805464001779465	NA	-0.3587935392410423	0.29867599339391954	-83.62083333333334	43.645833333333336	359	11
1.3837545544992143	0.16489337261008488	-0.415999722473903	-0.301900465261956	0.29867599339391954	-83.61250000000001	43.6375	360	95
1.3872016132094478	-0.4805464001779465	NA	-0.3587935392410423	1.359012384018151	-83.9375	43.75416666666667	361	11
1.4071056994984645	-0.4805464001779465	NA	-0.3587935392410423	-1.4957516433613216	-83.78750000000001	43.979166666666664	362	11
1.4363479221802131	-0.4805464001779465	NA	-0.3587935392410423	-0.027587819815189665	-83.87916666666666	43.92916666666667	363	11
1.4669343025329122	-0.4805464001779465	NA	-0.3587935392410423	1.1958851445925682	-83.94583333333334	43.75416666666667	364	11
1.4731187469141536	-0.4805464001779465	-1.3012591207085487	-0.3587935392410423	-1.577315263074113	-83.78750000000001	43.9875	365	11
1.5176447941986855	5.328411554914336	0.7643461418389579	-0.26126255343140237	-2.066706315708805	-83.79583333333333	44.00416666666666	366	90
1.5223502694134206	0.8103331453981163	-0.8881381807656008	-0.22333383313919677	0.7065034263158201	-83.62083333333334	43.612500000000004	367	82
