x	y	occurrence	id	boat	elev	nit	pop	wc10	land
-83.4046	43.82924	1	189	-1.06275048263468	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.52032	43.72713	1	753	-0.36287928686152415	-0.4360899149867184	NA	-0.4032591987723782	0.3839433303676469	Open Water
-83.69297	43.59437	1	1236	-0.6150225042636176	-0.4360899149867184	0.619243631201913	-0.3927640340123886	1.3398070780114206	Emergent Herbaceous Wetlands
-83.42734	43.81775	1	1909	-0.20767540013885735	-0.4360899149867184	NA	-0.4032591987723782	-0.9702022963905792	Emergent Herbaceous Wetlands
-83.62229	43.63105	1	821	2.1583325354239435	1.3438689216937318	-0.19686941875683447	-0.31579949591446743	0.6229069883087847	Emergent Herbaceous Wetlands
-83.392498	43.840474	1	1451	-1.0102001578319972	-0.4360899149867184	NA	-0.4032591987723782	-0.6515840858023955	Open Water
-83.48435	43.71395	1	1787	-0.2716964376533401	-0.4360899149867184	-0.6729353105170636	-0.12338814962706379	0.3839433303676469	Open Water
-83.53173	43.71727	1	997	-0.9630488311809725	-0.4360899149867184	-0.876963735153871	0.18097164300904878	0.4635978830146928	Open Water
-83.41056	43.81671	1	66	-0.5651921461956094	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Emergent Herbaceous Wetlands
-83.56599	43.68418	1	316	-1.1166381085555488	-0.4360899149867184	-0.6729353105170636	-0.2983075553428853	0.2246251091943324	Emergent Herbaceous Wetlands
-83.54357	43.70774	1	71	-1.069445085321415	0.4538895033535067	-1.1490012022772926	0.7896910948283583	0.3042887777206009	Open Water
-83.55763	43.69484	1	1589	-1.048462638038521	-0.4360899149867184	-1.012982468715582	0.4048684689800087	0.3042887777206009	Open Water
-83.5033	43.71165	1	1626	-0.6115437289223061	-0.4360899149867184	NA	-0.4032591987723782	0.5432524356617388	Emergent Herbaceous Wetlands
-83.93894	43.76591	1	1592	1.0002471377679536	-0.4360899149867184	NA	-0.26332367419972097	1.4194616306584666	Open Water
-83.64977	43.60823	1	1487	0.41917545898379305	0.4538895033535067	-0.5369165769553528	-0.05691878880034319	0.8618706462499225	Woody Wetlands
-83.54034	43.71084	1	1057	-1.2496877875025245	-0.4360899149867184	-1.2170108933523893	0.18097164300904878	0.3839433303676469	Open Water
-83.5161	43.72392	1	311	-0.5697970407076259	-0.4360899149867184	NA	0.10050867634389617	0.4635978830146928	Open Water
-83.41275	43.81469	1	1261	-0.5481748882530004	-0.4360899149867184	-1.1490012022772926	0.002553835833619271	-0.8108931910964874	Emergent Herbaceous Wetlands
-83.93358	43.77215	1	95	0.4877809752559069	-0.4360899149867184	1.231328905112335	-0.16886720178582318	1.3398070780114206	Open Water
-83.61694	43.63493	1	102	1.7833893858655112	-0.4360899149867184	NA	-0.4032591987723782	0.5432524356617388	Open Water
-83.843879	43.979265	1	1582	-1.0945413763188985	-0.4360899149867184	1.4353566811606604	0.39087492986803457	-1.1295205175638936	Open Water
-83.65121	43.60658	1	1737	0.1321084984825935	-0.4360899149867184	-0.19686941875683447	-0.03243004530954503	0.7822160936028766	Emergent Herbaceous Wetlands
-83.841839	43.993527	1	718	-0.3000344736234241	1.3438689216937318	1.7073947968725642	0.2474410038357694	-1.2091750702109396	Woody Wetlands
-83.63219	43.6224	1	1690	1.6840528303855653	1.3438689216937318	-0.19686941875683447	-0.11639138007107672	0.8618706462499225	Woody Wetlands
-83.434826	43.846346	1	827	0.7279651973866561	0.4538895033535067	NA	-0.4032591987723782	-0.8108931910964874	Emergent Herbaceous Wetlands
-83.70626	43.60437	1	670	0.029688402825046575	-0.4360899149867184	0.2791964730033947	-0.3927640340123886	1.4194616306584666	Open Water
-83.94553	43.76146	1	132	1.0999598967761657	-0.4360899149867184	NA	-0.4032591987723782	1.2601525253643748	Open Water
-83.739865	43.996509	1	1011	1.6907068437843444	-0.4360899149867184	NA	-0.4032591987723782	-1.2091750702109396	Open Water
-83.43517	43.81904	1	676	-0.11674321487095682	0.4538895033535067	NA	-0.4032591987723782	-0.8905477437435333	Emergent Herbaceous Wetlands
-83.41968	43.81536	1	685	-0.7116773985005912	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.49886	43.70994	1	154	-0.4929419679270599	-0.4360899149867184	NA	-0.4032591987723782	0.5432524356617388	Open Water
-83.51419	43.73322	1	423	-0.18468338516795046	-0.4360899149867184	NA	-0.4032591987723782	0.3839433303676469	Open Water
-83.65867	43.60166	1	186	-0.11187166984488398	-0.4360899149867184	NA	-0.4032591987723782	0.8618706462499225	Open Water
-83.6336	43.62077	1	1192	1.4210054547573516	-0.4360899149867184	-0.6049262680304492	-0.03243004530954503	0.7822160936028766	Open Water
-83.419155	43.839502	1	466	-0.18538707123774686	-0.4360899149867184	NA	-0.4032591987723782	-0.7312386384494414	Emergent Herbaceous Wetlands
-83.71639	43.61148	1	1504	0.6767339725380795	-0.4360899149867184	0.1431777394416838	0.10750547926311217	1.4991252991847352	Open Water
-83.434712	43.839912	1	192	0.5325260803332935	0.4538895033535067	NA	-0.4032591987723782	-0.8905477437435333	Emergent Herbaceous Wetlands
-83.791746	43.988402	1	1762	1.237800426614932	-0.4360899149867184	-1.3530296269141	-0.4032591987723782	-1.4481387281520774	Open Water
-83.72066	43.61435	1	988	0.9370355330103884	-0.4360899149867184	0.2791964730033947	0.10750547926311217	1.658434404478827	Emergent Herbaceous Wetlands
-83.73255	43.61741	1	1566	0.7665488969965001	-0.4360899149867184	0.48322489764020204	0.10750547926311217	1.7380889571258729	Emergent Herbaceous Wetlands
-83.5421	43.70865	1	212	-0.8780702259215668	-0.4360899149867184	NA	-0.4032591987723782	0.3839433303676469	Open Water
-83.425216	43.84324	1	1048	0.4005086772927972	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.67873	43.59172	1	1634	-0.891526145828011	-0.4360899149867184	NA	-0.4032591987723782	1.1008434200702828	Open Water
-83.40676	43.82228	1	682	-0.8792449968730611	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.64528	43.61146	1	1421	0.7753834513755254	-0.4360899149867184	-0.264879109831931	-0.03243004530954503	0.7822160936028766	Open Water
-83.68665	43.59111	1	810	-1.2442511413156607	-0.4360899149867184	0.21118743051678038	0.28942162117169185	1.3398070780114206	Emergent Herbaceous Wetlands
-83.49762	43.70692	1	248	-0.9118762929755104	-0.4360899149867184	-0.8089540440787745	-0.12338814962706379	0.7025615409558306	Emergent Herbaceous Wetlands
-83.803737	43.993322	1	1717	1.0646092221895918	2.233848340033957	-0.264879109831931	-0.39626242243948523	-1.3684841755050314	Emergent Herbaceous Wetlands
-83.869658	43.961323	1	1806	-0.48967399390052013	1.3438689216937318	1.6393851057974678	-0.14787685975463302	-0.8108931910964874	Woody Wetlands
-83.68204	43.59078	1	422	-1.4052439844002322	-0.4360899149867184	0.1431777394416838	2.5983579100734513	1.1008434200702828	Emergent Herbaceous Wetlands
-83.48278	43.71514	1	582	0.010397383491489432	0.4538895033535067	-0.7409450015921601	-0.12338814962706379	0.4635978830146928	Emergent Herbaceous Wetlands
-83.62831	43.62588	1	298	2.0677184206887715	-0.4360899149867184	NA	-0.31579949591446743	0.7025615409558306	Open Water
-83.846190000000007	43.990369	1	1198	-0.7651569169515946	-0.4360899149867184	1.1633192140372386	0.39087492986803457	-1.1295205175638936	Open Water
-83.92621	43.80165	1	1590	-1.4538280298689636	1.3438689216937318	2.115450997557697	1.6992720045506302	0.7025615409558306	Woody Wetlands
-83.40212	43.8385	1	310	-0.8190037113636925	-0.4360899149867184	NA	-0.4032591987723782	-0.7312386384494414	Open Water
-83.70006	43.59983	1	313	-0.3188321929662743	-0.4360899149867184	0.7552623647636237	-0.3927640340123886	1.4194616306584666	Woody Wetlands
-83.43318	43.840554	1	1130	0.1691788024419351	-0.4360899149867184	NA	-0.4032591987723782	-0.8905477437435333	Emergent Herbaceous Wetlands
-83.92952	43.77891	1	344	-0.09388656673251666	-0.4360899149867184	1.1633192140372386	-0.1373817054206524	1.2601525253643748	Open Water
-83.95503	43.75797	1	443	1.7258557138292656	0.4538895033535067	2.0474419550710827	6.1002440922172	1.1008434200702828	Open Water
-83.95341	43.75981	1	448	1.2473979073544448	-0.4360899149867184	NA	4.4944841612706234	1.1008434200702828	Emergent Herbaceous Wetlands
-83.53322	43.71613	1	1523	-1.479303309934083	0.4538895033535067	-1.1490012022772926	0.04803285462914972	0.4635978830146928	Emergent Herbaceous Wetlands
-83.4103	43.83207	1	839	-0.6834505764874469	-0.4360899149867184	NA	-0.4032591987723782	-0.8905477437435333	Emergent Herbaceous Wetlands
-83.61621	43.63551	1	702	1.5132461860724304	0.4538895033535067	-0.46890688588025614	-0.32979305170805606	0.4635978830146928	Emergent Herbaceous Wetlands
-83.4412	43.81178	1	426	-0.5885865937487219	-0.4360899149867184	NA	-0.4032591987723782	-0.8905477437435333	Open Water
-83.46257	43.80137	1	537	0.10833736295958511	-0.4360899149867184	NA	-0.4032591987723782	-0.7312386384494414	Open Water
-83.50861	43.71238	1	1293	-0.7808346937886853	-0.4360899149867184	NA	-0.20385108292898746	0.5432524356617388	Open Water
-83.859382	43.970462	1	523	-1.1371425157590647	4.013807176714407	1.5713760633108533	-0.14787685975463302	-1.0498659649168478	Woody Wetlands
-83.70859	43.60563	1	1558	0.30211235380972934	-0.4360899149867184	0.2791964730033947	-0.23533656261254376	1.658434404478827	Emergent Herbaceous Wetlands
-83.56878	43.68167	1	488	-1.2031763390380987	-0.4360899149867184	-0.264879109831931	-0.291310777446091	0.30427966184137833	Emergent Herbaceous Wetlands
-83.831035	43.991308	1	1943	-0.1860017584596127	-0.4360899149867184	-0.5369165769553528	-0.4032591987723782	-0.9702114122698018	Open Water
-83.788308	43.988251	1	1900	1.607015538346367	-0.4360899149867184	-1.489048360475811	-0.4032591987723782	-1.3684841755050314	Open Water
-83.72452	43.61813	1	559	1.13932368582137	-0.4360899149867184	NA	-0.4032591987723782	1.578779851831781	Open Water
-83.68857	43.59262	1	619	-0.8316915836695663	-0.4360899149867184	NA	-0.4032591987723782	1.1804979727173288	Open Water
-83.833846	43.992292	1	1833	-0.11773465926866565	1.3438689216937318	1.7073947968725642	-0.07441072937192535	-1.1295205175638936	Emergent Herbaceous Wetlands
-83.65997	43.59724	1	1571	-0.5046182569046278	0.4538895033535067	-0.06085068519512361	4.644914956948563	0.8618706462499225	Open Water
-83.93283	43.77351	1	649	0.4297144174272309	-0.4360899149867184	NA	-0.1723655865638167	1.4991161833055127	Open Water
-83.44197	43.812	1	663	-0.3454452014997193	-0.4360899149867184	NA	-0.4032591987723782	-0.8905477437435333	Emergent Herbaceous Wetlands
-83.743986	43.994703	1	1024	2.0027858024394973	-0.4360899149867184	-1.0809921597906784	-0.30180594012087886	-1.2091750702109396	Emergent Herbaceous Wetlands
-83.52481	43.72406	1	694	-0.8329359758038118	-0.4360899149867184	-0.9449734262289675	-0.021934907657178888	0.5432524356617388	Emergent Herbaceous Wetlands
-83.832435	43.99254	1	1923	0.12967715515016948	3.123827758374182	1.2993379475989495	-0.06391555835633027	-1.1295205175638936	Emergent Herbaceous Wetlands
-83.64061	43.61546	1	1193	1.0476742501180476	1.3438689216937318	-0.3328881523185453	-0.04992198588112718	0.941534314776191	Woody Wetlands
-83.752987	43.990745	1	1616	2.6123927541428884	-0.4360899149867184	-1.2170108933523893	-0.4032591987723782	-1.2091750702109396	Open Water
-83.816938	43.986433	1	1119	0.15549429529232234	-0.4360899149867184	0.1431777394416838	-0.3822688692523989	-1.1295205175638936	Open Water
-83.55881	43.69461	1	867	-0.7511644433375253	-0.4360899149867184	-0.6729353105170636	-0.4032591987723782	0.2246251091943324	Open Water
-83.858563	43.966268	1	1436	-0.663513727255843	1.3438689216937318	1.5713760633108533	-0.14787685975463302	-0.7312386384494414	Open Water
-83.749714	43.989949	1	942	2.3122321668681503	-0.4360899149867184	-1.2170108933523893	-0.4032591987723782	-1.2091750702109396	Open Water
-83.73308	43.61623	1	1218	0.9375664810363009	-0.4360899149867184	0.21118743051678038	0.10750547926311217	1.8177435097729189	Emergent Herbaceous Wetlands
-83.804147	43.987573	1	1674	0.8715642156691301	-0.4360899149867184	-0.6729353105170636	-0.4032591987723782	-1.2888296228579856	Open Water
-83.810328	43.986727	1	1095	0.5098604406087636	-0.4360899149867184	-0.1288597276817379	-0.3787704823892036	-1.2091750702109396	Emergent Herbaceous Wetlands
-83.49033	43.70727	1	1178	-0.5936980065873355	-0.4360899149867184	-1.0809921597906784	-0.12338814962706379	0.6229069883087847	Emergent Herbaceous Wetlands
-83.392269	43.842746	1	1272	-0.5069599785355976	-0.4360899149867184	NA	0.21595552415221309	-0.6515840858023955	Open Water
-83.850312	43.97636	1	1344	-1.412388339235481	1.3438689216937318	1.4353566811606604	0.2719296806001097	-1.1295205175638936	Emergent Herbaceous Wetlands
-83.85576	43.970254	1	1363	-1.2177269586152786	-0.4360899149867184	NA	-0.14787685975463302	-0.9702114122698018	Open Water
-83.849904	43.972902	1	1376	-0.9948416972346823	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.857018	43.966029	1	1399	-0.7005549647174156	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.45157	43.81095	1	1417	-0.046278826860572726	1.3438689216937318	NA	-0.4032591987723782	-0.8108931910964874	Emergent Herbaceous Wetlands
-83.421726	43.841806	1	1727	0.09512567084034697	-0.4360899149867184	NA	-0.4032591987723782	-0.8108931910964874	Open Water
-83.838587	43.982013	1	1570	-0.7263325882637921	-0.4360899149867184	NA	-0.4032591987723782	-0.8905477437435333	Open Water
-83.838105	43.983392	1	1542	-0.5025325972778129	-0.4360899149867184	NA	0.39087492986803457	-1.0498659649168478	Open Water
-83.79912	43.99349	1	1699	1.4073729904799346	5.793766013394857	-0.4008978433936419	-0.4032591987723782	-1.527802396678346	Woody Wetlands
